when	WRB
the	DT
old	JJ
battered	JJ
hat	NN
and	CC
flour	NN
-	HYPH
covered	VBN
coat	NN
loomed	VBD
up	RP
in	IN
the	DT
gloaming	VBG
and	CC
confronted	VBD
her	PRP
,	,
she	PRP
stared	VBD
with	IN
terror	NN
.	.
the	DT
next	JJ
instant	NN
she	PRP
had	VBD
seized	VBN
him	PRP
.	.
"	``
for	IN
the	DT
lord	NNP
sakes	NNS
,	,
elder	NNP
brown	NNP
,	,
what	WP
ails	VBZ
you	PRP
?	.
as	IN
i	PRP
live	VBP
,	,
if	IN
the	DT
man	NN
ai	VBP
n't	RB
drunk	JJ
!	.
elder	NNP
brown	NNP
!	.
elder	NNP
brown	NNP
!	.
for	IN
the	DT
life	NN
of	IN
me	PRP
ca	MD
n't	RB
i	PRP
make	VB
you	PRP
hear	VB
?	.
you	PRP
crazy	JJ
old	JJ
hypocrite	NN
!	.
you	PRP
desavin	VBG
'	POS
old	JJ
sinner	NN
!	.
you	PRP
black	JJ
-	HYPH
hearted	JJ
wretch	NN
!	.
where	WRB
have	VBP
you	PRP
ben	NNP
?	.
"	''
the	DT
elder	NN
made	VBD
an	DT
effort	NN
to	TO
wave	VB
her	PRP
off	RP
.	.
"	``
woman	NN
,	,
"	''
he	PRP
said	VBD
,	,
with	IN
grand	JJ
dignity	NN
,	,
"	``
you	PRP
forgit	VBP
yus	NNP
-	HYPH
sef	NNP
;	:
shu	PRP
know	VBP
ware	XX
ihave	VBP
ben	NNP
'	HYPH
swell	NNP
's	POS
i	PRP
do	VBP
.	.
ben	NNP
to	IN
town	NN
,	,
wife	NN
,	,
an	CC
'	''
see	VB
yer	PRP
wat	XX
ihave	PRP
brought	VBN
the	DT
fines	NNPS
'	POS
hat	NN
,	,
ole	NNP
woman	NNP
,	,
i	PRP
could	MD
git	VB
.	.
look't	VB
the	DT
color	NN
.	.
like	NN
goes	VBZ
'	``
ith	XX
like	UH
;	:
it	PRP
is	VBZ
red	JJ
an	CC
'	''
youare	PRP
red	JJ
,	,
an	CC
'	''
it	PRP
is	VBZ
a	DT
dead	JJ
match	NN
.	.
what	WP
yer	PRP
mean	VB
?	.
hey	UH
!	.
hole	NNP
on	IN
!	.
ole	NNP
woman	NN
!	.
you	PRP
!	.
hannah	NNP
!	.
you	PRP
.	.
"	''
she	PRP
literally	RB
shook	VBD
him	PRP
into	IN
silence	NN
.	.
"	``
you	PRP
miserable	JJ
wretch	NN
!	.
you	PRP
low	JJ
-	HYPH
down	JJ
drunken	JJ
sot	NN
!	.
what	WP
do	VBP
you	PRP
mean	VB
by	IN
coming	VBG
home	RB
and	CC
insulting	VBG
your	PRP$
wife	NN
?	.
"	''
hannah	NNP
ceased	VBD
shaking	VBG
him	PRP
from	IN
pure	JJ
exhaustion	NN
.	.
"	``
where	WRB
is	VBZ
it	PRP
,	,
i	PRP
say	VBP
?	.
where	WRB
is	VBZ
it	PRP
?	.
"	''
by	IN
this	DT
time	NN
she	PRP
was	VBD
turning	VBG
his	PRP$
pockets	NNS
wrong	JJ
side	NN
out	RB
.	.
from	IN
one	CD
she	PRP
got	VBD
pills	NNS
,	,
from	IN
another	DT
change	NN
,	,
from	IN
another	DT
packages	NNS
.	.
"	``
the	DT
lord	NNP
be	VB
praised	VBN
,	,
and	CC
this	DT
is	VBZ
better	JJR
luck	NN
than	IN
i	PRP
hoped	VBD
!	.
oh	UH
,	,
elder	NN
!	.
elder	NNP
!	.
elder	NNP
!	.
what	WP
did	VBD
you	PRP
do	VB
it	PRP
for	IN
?	.
why	WRB
,	,
man	NN
,	,
where	WRB
is	VBZ
balaam	NNP
?	.
"	''
thought	VBD
of	IN
the	DT
beast	NN
choked	VBN
off	RP
the	DT
threatened	VBN
hysterics	NNS
.	.
"	``
balaam	NNP
?	.
balaam	NNP
?	.
"	''
said	VBD
the	DT
